model_size,precision,backend,sequence_name,sequence_length,reference_shape,output_shape,mean_cosine,min_cosine,mean_pool_l2,mean_cosine_threshold,min_cosine_threshold,mean_pool_l2_threshold,passed,error
300m,q8_0,metal,large_A0A087X179,549,"[549, 960]","[549, 960]",0.9999099373817444,0.9994135499000549,0.007956914603710175,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A087X1C5,515,"[515, 960]","[515, 960]",0.9998997449874878,0.9996235370635986,0.008108429610729218,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A087X1G2,549,"[549, 960]","[549, 960]",0.9999099373817444,0.9994157552719116,0.008014603517949581,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A096LP49,1063,"[1063, 960]","[1063, 960]",0.9999168515205383,0.9996916651725769,0.008181956596672535,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A0A6YYL3,544,"[544, 960]","[544, 960]",0.9999155402183533,0.9995164275169373,0.008572462946176529,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A0J9YWL9,993,"[993, 960]","[993, 960]",0.9999132752418518,0.9995675086975098,0.009329359978437424,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A0J9YX94,578,"[578, 960]","[578, 960]",0.9999188780784607,0.999740481376648,0.00838521495461464,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A0J9YXQ4,647,"[647, 960]","[647, 960]",0.9999241828918457,0.999707818031311,0.008368996903300285,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A0J9YXV3,536,"[536, 960]","[536, 960]",0.9998970627784729,0.9995676875114441,0.010799434036016464,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A0J9YY54,714,"[714, 960]","[714, 960]",0.9999210238456726,0.9997590780258179,0.008449952118098736,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A0U1RQI7,1052,"[1052, 960]","[1052, 960]",0.9999169111251831,0.9997037649154663,0.009759877808392048,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A1B0GTH6,734,"[734, 960]","[734, 960]",0.9998878240585327,0.9992249608039856,0.00826936960220337,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A1B0GTU1,805,"[805, 960]","[805, 960]",0.9999103546142578,0.999614417552948,0.008762835524976254,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A1B0GTW7,788,"[788, 960]","[788, 960]",0.9998926520347595,0.9994704723358154,0.008395278826355934,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A1B0GUU1,675,"[675, 960]","[675, 960]",0.9999158978462219,0.9995856881141663,0.008097419515252113,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A1B0GUW6,1196,"[1196, 960]","[1196, 960]",0.9999150633811951,0.9995654821395874,0.008781038224697113,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A1B0GV03,622,"[622, 960]","[622, 960]",0.9999189376831055,0.9997382164001465,0.008642765693366528,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A1B0GV85,526,"[526, 960]","[526, 960]",0.9999015927314758,0.9995633959770203,0.00854190718382597,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A1B0GVH7,501,"[501, 960]","[501, 960]",0.9999111890792847,0.9994046688079834,0.007876705378293991,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A1B0GWI6,518,"[518, 960]","[518, 960]",0.9999163150787354,0.9993699193000793,0.008086287416517735,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A1W2PPD8,638,"[638, 960]","[638, 960]",0.9999131560325623,0.9994969964027405,0.007395504973828793,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0AUZ9,987,"[987, 960]","[987, 960]",0.9998979568481445,0.9996086955070496,0.007787324953824282,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0AV02,714,"[714, 960]","[714, 960]",0.9999021291732788,0.9996829032897949,0.007534781936556101,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0AV96,593,"[593, 960]","[593, 960]",0.9999065399169922,0.9994012117385864,0.008568278513848782,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0AVF1,554,"[554, 960]","[554, 960]",0.9999171495437622,0.9996458888053894,0.008248068392276764,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0AVK6,867,"[867, 960]","[867, 960]",0.9999091625213623,0.9994186162948608,0.00831278134137392,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0AVT1,1052,"[1052, 960]","[1052, 960]",0.999904990196228,0.9994379878044128,0.007589336019009352,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0FGR8,921,"[921, 960]","[921, 960]",0.9998955726623535,0.9995076656341553,0.0076825255528092384,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0FGR9,886,"[886, 960]","[886, 960]",0.9999016523361206,0.9994028210639954,0.0074419546872377396,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0JNW5,1464,"[1464, 960]","[1464, 960]",0.9999033808708191,0.9981226921081543,0.007390528451651335,0.999,0.99,0.05,True,
300m,q4_k_m,metal,small_A0A075B6S0,16,"[16, 960]","[16, 960]",0.9965055584907532,0.9898872375488281,0.05029800906777382,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A075B6Y3,20,"[20, 960]","[20, 960]",0.9952461123466492,0.979580283164978,0.05261659994721413,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A075B6Y9,20,"[20, 960]","[20, 960]",0.9953533411026001,0.9798683524131775,0.053172897547483444,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A075B700,18,"[18, 960]","[18, 960]",0.9971332550048828,0.9854615330696106,0.044536471366882324,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A075B706,16,"[16, 960]","[16, 960]",0.9980381727218628,0.9930594563484192,0.03765436261892319,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0A0MT70,17,"[17, 960]","[17, 960]",0.9965593814849854,0.9935113787651062,0.05453963950276375,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0A0MT76,42,"[42, 960]","[42, 960]",0.99616938829422,0.9916762113571167,0.05070224031805992,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0A0MT78,15,"[15, 960]","[15, 960]",0.9976039528846741,0.9942029714584351,0.04069507122039795,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0A0MT87,16,"[16, 960]","[16, 960]",0.9960211515426636,0.9922926425933838,0.047190722078084946,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0A0MT89,12,"[12, 960]","[12, 960]",0.9951959252357483,0.9867755174636841,0.05505114048719406,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0A0MT94,16,"[16, 960]","[16, 960]",0.9966604113578796,0.9883958697319031,0.049515075981616974,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0A0MTA4,15,"[15, 960]","[15, 960]",0.9957705140113831,0.987376868724823,0.0512734018266201,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0A0MTA7,16,"[16, 960]","[16, 960]",0.9956744909286499,0.9862247109413147,0.04745788499712944,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0B4J200,16,"[16, 960]","[16, 960]",0.9979137182235718,0.9914976358413696,0.037857215851545334,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0C4DH62,17,"[17, 960]","[17, 960]",0.9955028295516968,0.9906306862831116,0.05630607530474663,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0C5B5G6,16,"[16, 960]","[16, 960]",0.9958784580230713,0.9890074729919434,0.04437332600355148,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0J9YWP8,16,"[16, 960]","[16, 960]",0.9949828386306763,0.985905110836029,0.06034868210554123,0.995,0.0,0.2,False,
300m,q4_k_m,metal,small_A0A0J9YWX3,17,"[17, 960]","[17, 960]",0.9951069951057434,0.9761720895767212,0.04719453677535057,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0J9YX06,15,"[15, 960]","[15, 960]",0.9958940148353577,0.9838560223579407,0.04831710457801819,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0J9YXA8,15,"[15, 960]","[15, 960]",0.9964377880096436,0.9909470081329346,0.04708116874098778,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0J9YXG5,16,"[16, 960]","[16, 960]",0.9971907138824463,0.9914914965629578,0.038880471140146255,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A0J9YXM7,16,"[16, 960]","[16, 960]",0.9958949089050293,0.9900181293487549,0.04629433900117874,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A1B0GTB2,48,"[48, 960]","[48, 960]",0.9959008097648621,0.9924211502075195,0.04361579194664955,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A1B0GWH6,25,"[25, 960]","[25, 960]",0.9950416684150696,0.9903119802474976,0.05291914939880371,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A3G1DIU6,26,"[26, 960]","[26, 960]",0.9959855675697327,0.9913316369056702,0.04828769713640213,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A3G1DJK2,26,"[26, 960]","[26, 960]",0.997347891330719,0.9957108497619629,0.040845900774002075,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A3G1DJL1,24,"[24, 960]","[24, 960]",0.9968060851097107,0.9934546947479248,0.046637218445539474,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A3G1DJL7,24,"[24, 960]","[24, 960]",0.9960985779762268,0.9831315875053406,0.04553701728582382,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A3G1DJN1,20,"[20, 960]","[20, 960]",0.9962581396102905,0.9852771759033203,0.041772011667490005,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A0A3G1DJQ2,38,"[38, 960]","[38, 960]",0.9966256022453308,0.9943403005599976,0.045933064073324203,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_A1L3X4,49,"[49, 960]","[49, 960]",0.9953297972679138,0.9906477332115173,0.06047692522406578,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_C0HLU2,46,"[46, 960]","[46, 960]",0.9939752817153931,0.9710284471511841,0.046686846762895584,0.995,0.0,0.2,False,
300m,q4_k_m,metal,small_C0HLV8,31,"[31, 960]","[31, 960]",0.9954587817192078,0.9894260168075562,0.04811742529273033,0.995,0.0,0.2,True,
300m,q4_k_m,metal,small_C0HM02,26,"[26, 960]","[26, 960]",0.9962106943130493,0.9900527000427246,0.05342835560441017,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A024RBG1,181,"[181, 960]","[181, 960]",0.9960480332374573,0.963311493396759,0.04578441381454468,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6H7,116,"[116, 960]","[116, 960]",0.9969795942306519,0.9927141070365906,0.050482019782066345,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6H8,117,"[117, 960]","[117, 960]",0.9965616464614868,0.9883776903152466,0.04805780574679375,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6H9,119,"[119, 960]","[119, 960]",0.9966840744018555,0.9894723892211914,0.055599503219127655,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6I0,122,"[122, 960]","[122, 960]",0.9966769218444824,0.9923955202102661,0.05728992447257042,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6I1,120,"[120, 960]","[120, 960]",0.9968031048774719,0.9931930303573608,0.05460793524980545,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6I3,123,"[123, 960]","[123, 960]",0.9968716502189636,0.9911108016967773,0.0489732064306736,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6I4,117,"[117, 960]","[117, 960]",0.9968922138214111,0.9933939576148987,0.055001746863126755,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6I6,118,"[118, 960]","[118, 960]",0.9970425367355347,0.9936824440956116,0.050203852355480194,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6I7,105,"[105, 960]","[105, 960]",0.9963721632957458,0.9828945398330688,0.05194519832730293,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6I9,117,"[117, 960]","[117, 960]",0.9967933297157288,0.991258978843689,0.05134980380535126,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6J1,123,"[123, 960]","[123, 960]",0.9969973564147949,0.9941359162330627,0.051612649112939835,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6J2,118,"[118, 960]","[118, 960]",0.9963474869728088,0.9857667088508606,0.04998909309506416,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6J6,115,"[115, 960]","[115, 960]",0.9967086315155029,0.9926893711090088,0.052917949855327606,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6J9,118,"[118, 960]","[118, 960]",0.9969947934150696,0.9927117228507996,0.05254901573061943,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6K0,115,"[115, 960]","[115, 960]",0.9967964887619019,0.9942749738693237,0.05670136958360672,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6K2,115,"[115, 960]","[115, 960]",0.9965997934341431,0.988934338092804,0.05173647031188011,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6K4,115,"[115, 960]","[115, 960]",0.9968839287757874,0.994670033454895,0.055583517998456955,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6K5,115,"[115, 960]","[115, 960]",0.9966773390769958,0.9911449551582336,0.05488227680325508,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6K6,122,"[122, 960]","[122, 960]",0.9966520071029663,0.9917579293251038,0.05257228761911392,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6L2,119,"[119, 960]","[119, 960]",0.9965328574180603,0.99176424741745,0.049610212445259094,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6L6,115,"[115, 960]","[115, 960]",0.9968155026435852,0.9838151335716248,0.042106177657842636,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6N1,114,"[114, 960]","[114, 960]",0.9965921640396118,0.9882608652114868,0.0467197448015213,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6N2,111,"[111, 960]","[111, 960]",0.9960488080978394,0.9629471898078918,0.05162307247519493,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6N3,115,"[115, 960]","[115, 960]",0.9959389567375183,0.972488284111023,0.0495096854865551,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6N4,114,"[114, 960]","[114, 960]",0.9962748289108276,0.9868379235267639,0.05077802762389183,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6P5,120,"[120, 960]","[120, 960]",0.9967748522758484,0.988085150718689,0.05074409395456314,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6Q5,118,"[118, 960]","[118, 960]",0.9966349005699158,0.9887846112251282,0.0497158020734787,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6R0,118,"[118, 960]","[118, 960]",0.9968560338020325,0.9916702508926392,0.04637869447469711,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6R2,117,"[117, 960]","[117, 960]",0.9965780377388,0.9857330322265625,0.05282072350382805,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6R9,120,"[120, 960]","[120, 960]",0.9969494342803955,0.9941097497940063,0.0491444431245327,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6S2,120,"[120, 960]","[120, 960]",0.9967138767242432,0.9907432198524475,0.05105852335691452,0.995,0.0,0.2,True,
300m,q4_k_m,metal,medium_A0A075B6S4,117,"[117, 960]","[117, 960]",0.9967762231826782,0.9939113259315491,0.052261315286159515,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A087WUV0,522,"[522, 960]","[522, 960]",0.9961107969284058,0.9863963723182678,0.06008167564868927,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A087WVF3,549,"[549, 960]","[549, 960]",0.9962347149848938,0.9750888347625732,0.05107102915644646,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A087WXS9,549,"[549, 960]","[549, 960]",0.9962529540061951,0.975366473197937,0.051080122590065,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A087X179,549,"[549, 960]","[549, 960]",0.9962105751037598,0.976653516292572,0.05114596709609032,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A087X1C5,515,"[515, 960]","[515, 960]",0.9959054589271545,0.9780572056770325,0.051544979214668274,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A087X1G2,549,"[549, 960]","[549, 960]",0.9962440729141235,0.9772800207138062,0.05095221474766731,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A096LP49,1063,"[1063, 960]","[1063, 960]",0.9966535568237305,0.9834315776824951,0.051188405603170395,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A0A6YYL3,544,"[544, 960]","[544, 960]",0.996673583984375,0.982196033000946,0.052806954830884933,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A0J9YWL9,993,"[993, 960]","[993, 960]",0.996548593044281,0.9868848919868469,0.05888810381293297,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A0J9YX94,578,"[578, 960]","[578, 960]",0.9969122409820557,0.989685595035553,0.047978319227695465,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A0J9YXQ4,647,"[647, 960]","[647, 960]",0.9970837235450745,0.9910341501235962,0.05047726631164551,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A0J9YXV3,536,"[536, 960]","[536, 960]",0.9966854453086853,0.9907606244087219,0.055800873786211014,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A0J9YY54,714,"[714, 960]","[714, 960]",0.9966675043106079,0.988762378692627,0.056395627558231354,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A0U1RQI7,1052,"[1052, 960]","[1052, 960]",0.9963476657867432,0.9865404367446899,0.0661085918545723,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A1B0GTH6,734,"[734, 960]","[734, 960]",0.9960896968841553,0.9734011888504028,0.04641410708427429,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A1B0GTU1,805,"[805, 960]","[805, 960]",0.9964584708213806,0.9871452450752258,0.053732652217149734,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A1B0GTW7,788,"[788, 960]","[788, 960]",0.9959158897399902,0.9693034887313843,0.0478639155626297,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A1B0GUU1,675,"[675, 960]","[675, 960]",0.9966477751731873,0.9875402450561523,0.051215339452028275,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A1B0GUW6,1196,"[1196, 960]","[1196, 960]",0.9967525601387024,0.9896515607833862,0.05576402693986893,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A1B0GV03,622,"[622, 960]","[622, 960]",0.9966497421264648,0.9816697239875793,0.056046150624752045,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A1B0GV85,526,"[526, 960]","[526, 960]",0.9962219595909119,0.9798164963722229,0.04949497431516647,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A1B0GVH7,501,"[501, 960]","[501, 960]",0.9963732361793518,0.98149174451828,0.04859108477830887,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A1B0GWI6,518,"[518, 960]","[518, 960]",0.9968504309654236,0.9830625057220459,0.04902692511677742,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0A1W2PPD8,638,"[638, 960]","[638, 960]",0.9964302778244019,0.9783270955085754,0.050128091126680374,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0AUZ9,987,"[987, 960]","[987, 960]",0.9960017204284668,0.9812031388282776,0.04722829908132553,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0AV02,714,"[714, 960]","[714, 960]",0.9962209463119507,0.9892122149467468,0.04011233523488045,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0AV96,593,"[593, 960]","[593, 960]",0.9964146614074707,0.9832337498664856,0.05157937481999397,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0AVF1,554,"[554, 960]","[554, 960]",0.9967384934425354,0.9880993962287903,0.04879036918282509,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0AVK6,867,"[867, 960]","[867, 960]",0.9965076446533203,0.9833037853240967,0.05054720491170883,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0AVT1,1052,"[1052, 960]","[1052, 960]",0.9962197542190552,0.9727375507354736,0.04846874624490738,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0FGR8,921,"[921, 960]","[921, 960]",0.9959697723388672,0.975628674030304,0.04643747955560684,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0FGR9,886,"[886, 960]","[886, 960]",0.9960508942604065,0.9670283794403076,0.04702586680650711,0.995,0.0,0.2,True,
300m,q4_k_m,metal,large_A0JNW5,1464,"[1464, 960]","[1464, 960]",0.9962047934532166,0.9528042078018188,0.04683167487382889,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A075B6S0,16,"[16, 960]","[16, 960]",0.9958807229995728,0.9895700216293335,0.05154026672244072,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A075B6Y3,20,"[20, 960]","[20, 960]",0.9941343069076538,0.9727188348770142,0.056961849331855774,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_A0A075B6Y9,20,"[20, 960]","[20, 960]",0.9943267107009888,0.9778832197189331,0.057245999574661255,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_A0A075B700,18,"[18, 960]","[18, 960]",0.9970563054084778,0.9892718195915222,0.04667675122618675,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A075B706,16,"[16, 960]","[16, 960]",0.9974618554115295,0.9854868650436401,0.04070289433002472,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A0A0MT70,17,"[17, 960]","[17, 960]",0.9961544275283813,0.9936808347702026,0.054280467331409454,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A0A0MT76,42,"[42, 960]","[42, 960]",0.9954581260681152,0.9908155798912048,0.05063103139400482,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A0A0MT78,15,"[15, 960]","[15, 960]",0.9962381720542908,0.9897679686546326,0.04576916992664337,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A0A0MT87,16,"[16, 960]","[16, 960]",0.9951448440551758,0.9891324639320374,0.04727017506957054,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A0A0MT89,12,"[12, 960]","[12, 960]",0.9948700070381165,0.9866645932197571,0.05730612948536873,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_A0A0A0MT94,16,"[16, 960]","[16, 960]",0.9958407878875732,0.9854824542999268,0.05141770467162132,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A0A0MTA4,15,"[15, 960]","[15, 960]",0.9946601986885071,0.9766785502433777,0.05447959899902344,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_A0A0A0MTA7,16,"[16, 960]","[16, 960]",0.9952057600021362,0.9891110062599182,0.051015082746744156,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A0B4J200,16,"[16, 960]","[16, 960]",0.9971860647201538,0.9907746315002441,0.0410122387111187,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A0C4DH62,17,"[17, 960]","[17, 960]",0.9956014156341553,0.9892690777778625,0.053153689950704575,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A0C5B5G6,16,"[16, 960]","[16, 960]",0.9945981502532959,0.9877342581748962,0.05473949760198593,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_A0A0J9YWP8,16,"[16, 960]","[16, 960]",0.9945831298828125,0.9842756986618042,0.057635609060525894,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_A0A0J9YWX3,17,"[17, 960]","[17, 960]",0.9905458092689514,0.9696086645126343,0.06995094567537308,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_A0A0J9YX06,15,"[15, 960]","[15, 960]",0.9957538843154907,0.9840275645256042,0.05129149928689003,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A0J9YXA8,15,"[15, 960]","[15, 960]",0.9946682453155518,0.986588180065155,0.05577531456947327,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_A0A0J9YXG5,16,"[16, 960]","[16, 960]",0.9956426620483398,0.9845777153968811,0.04851309955120087,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A0J9YXM7,16,"[16, 960]","[16, 960]",0.9935874938964844,0.9791264533996582,0.05443125218153,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_A0A1B0GTB2,48,"[48, 960]","[48, 960]",0.9950035214424133,0.9904942512512207,0.04528801515698433,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A1B0GWH6,25,"[25, 960]","[25, 960]",0.993877112865448,0.987054705619812,0.05402177944779396,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_A0A3G1DIU6,26,"[26, 960]","[26, 960]",0.9954363703727722,0.9915207624435425,0.04753470793366432,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A3G1DJK2,26,"[26, 960]","[26, 960]",0.9966690540313721,0.9947044849395752,0.043240081518888474,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A3G1DJL1,24,"[24, 960]","[24, 960]",0.9958904385566711,0.9897241592407227,0.053088024258613586,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A3G1DJL7,24,"[24, 960]","[24, 960]",0.9952333569526672,0.9873003363609314,0.05123145505785942,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A3G1DJN1,20,"[20, 960]","[20, 960]",0.9963003993034363,0.9888871312141418,0.04394738748669624,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A0A3G1DJQ2,38,"[38, 960]","[38, 960]",0.9959107637405396,0.9922564625740051,0.04601450264453888,0.995,0.0,0.2,True,
300m,q4_k_s,metal,small_A1L3X4,49,"[49, 960]","[49, 960]",0.9941830635070801,0.9865378141403198,0.06110920384526253,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_C0HLU2,46,"[46, 960]","[46, 960]",0.9919132590293884,0.9603511095046997,0.05346176400780678,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_C0HLV8,31,"[31, 960]","[31, 960]",0.9947992563247681,0.9889149069786072,0.04771038889884949,0.995,0.0,0.2,False,
300m,q4_k_s,metal,small_C0HM02,26,"[26, 960]","[26, 960]",0.9955047369003296,0.9875360727310181,0.05554426461458206,0.995,0.0,0.2,True,
300m,q4_k_s,metal,medium_A0A024RBG1,181,"[181, 960]","[181, 960]",0.9955336451530457,0.9646469354629517,0.04472508281469345,0.995,0.0,0.2,True,
300m,q4_k_s,metal,medium_A0A075B6H7,116,"[116, 960]","[116, 960]",0.9962450861930847,0.9926313757896423,0.05567098781466484,0.995,0.0,0.2,True,
